"latitude","longitude"
44.0889472,1.4455916
44.0105602,1.3554915
43.7806480,1.3518414
43.6512089,1.3339078
43.4732208,1.3299344
43.5112868,1.3704969
43.6916603,1.4006181
43.7782470,1.4795640
44.0404656,1.1111885
43.6357098,1.3841642
43.6292114,1.4806254
43.2943345,5.3582628
43.9516103,4.8074811
43.5789190,1.4233578
43.5963889,1.4322222
43.6060199,1.4830633
48.8475234,2.3483817
43.4126933,1.3885796
43.5760669,1.4014989
45.8313165,1.2586537
43.9832540,4.8740855
46.1517553,-1.1545297
45.7631113,3.1265372
45.7678679,4.8334560
43.5561264,1.4654007
43.2103021,2.3516870
43.6040370,1.4486680
43.6002388,1.4414680
43.5957912,1.4311651
43.6017160,1.4478667
43.6332372,1.5058298
43.2816366,5.3815331
50.7419032,3.2502563
43.6928762,4.2766338
49.0059368,1.7351066
43.5574463,1.4647182
43.3355965,3.2253354
43.4470400,3.6581045
43.3701870,1.9135400
43.4344767,2.0167394
43.2886881,5.3786513
43.4642250,1.9662745
43.6025457,1.4096826
43.4517274,1.9831494
43.3990917,1.7039544
43.4510316,1.5918978
43.2072786,2.3846265
43.0746314,2.2201895
43.0742400,1.6405400
43.3623660,1.4592840
43.4985810,2.3864668
42.9633614,1.8641021
47.8789285,4.5636511
45.5126119,4.2629868
45.5255750,4.8685565
45.8984994,6.1247573
48.8331772,2.2439281
48.8078869,2.1316823
48.0863783,7.2754480
44.0287006,1.3762459
39.4678506,-0.3675976
39.4926185,-0.4002606
39.4695840,-0.3737861
39.4548751,-0.3504904
33.6019156,-7.6491603
45.4394585,-75.6268076
48.8620975,2.3764458
48.7814621,2.2633465
48.9284730,2.0379290
48.8756624,2.5203994
49.0139205,2.1628690
48.9964692,2.0627782
42.7344396,2.8884225
43.5621015,1.2867639
43.4566135,1.3235214
43.2190673,2.3424542
44.8556551,0.4782178
46.7947222,7.1533333
48.9675419,2.3975455
48.9363492,2.2289340
43.1244852,5.8748232
43.1238895,5.9526365
43.1197286,6.1333146
43.1174996,6.1288285
43.1149668,6.1086040
43.1211552,6.1348691
43.1099873,6.1249296
43.1190067,6.1307909
43.5064735,5.4012045
43.0870116,6.1289355
43.6395257,7.1376475
43.2885118,5.3821099
43.3042555,5.3671380
43.9212521,4.8615313
42.6908890,9.4476394
42.7067830,9.4071864
42.6932085,9.4505906
42.6965249,9.4506575
42.6787491,9.4399169
43.5488914,6.9762556
43.1396650,6.0336989
47.8778995,0.1292948
47.8267057,0.0752857
47.8942610,0.1949043
47.8602866,0.2176844
47.9289659,0.1853928
47.8939931,0.2050323
48.8321630,7.7444660
50.8237205,4.3027728
50.7103525,4.4014221
50.7245164,4.5161784
50.5889855,4.3098550
47.2763548,5.9928315
47.2634207,6.0616043
47.1866064,5.8260167
47.3273860,6.1257750
47.1842781,5.8173667
47.2237666,5.9565488
47.6729125,6.5096821
43.5670696,4.1918197
43.8305266,4.3567338
43.8406454,4.3609914
43.8532564,4.4005362
43.8551827,4.3999239
43.8335174,4.3709191
43.8376913,4.3450093
43.8369451,4.3629467
43.8397076,4.3595033
43.8213779,4.3646745
43.8435815,4.3697794
43.8095970,4.3646612
43.8320774,4.3577014
43.8261661,4.3539728
47.3803748,0.7248526
45.7237990,4.9353809
48.2770728,2.6845469
49.2876630,2.4976260
48.8713262,2.3350722
48.8754670,2.3282501
48.8763100,2.3588630
48.8373789,2.2955186
36.4184554,25.4325278
36.4179345,25.4321505
48.5790405,7.7534501
43.8511392,4.4007367
43.8373444,4.3830399
36.4234685,25.4347372
48.8438355,2.4131508
48.8596388,2.4079998
48.8223714,2.2577688
48.8167879,2.3060567
48.8653080,2.4154390
48.8602080,2.4118640
43.8568470,4.4037740
43.8220780,4.3642430
43.8116751,4.3648754
43.8155671,4.3481850
43.7837351,4.2995541
43.9396488,4.5756757
43.6666573,4.6361637
43.6923357,4.2049702
43.6826649,4.1513813
43.9589900,4.7481790
43.9307367,4.7836189
43.9468573,4.8059539
43.8882540,4.8526730
43.5788573,7.0060218
43.3384191,5.3810809
43.3004172,5.3814144
43.2995356,5.3680170
43.3632973,5.3497694
43.5692913,6.9895722
43.5386769,6.9442185
43.5531184,7.0071910
43.5718030,7.1099880
43.5537899,7.0181894
43.5510855,6.9555976
43.7273486,7.1894744
43.6341067,7.1333894
43.7052197,7.2654122
43.7055276,7.1942359
43.4368535,6.7215771
43.7096695,7.2876441
43.5790347,6.9923601
43.1382147,6.0153537
43.6139903,1.0837675
43.5519178,7.0149733
43.6162120,6.9734142
43.5515733,6.9562982
43.5767041,7.0564881
43.5998268,7.0865173
43.5340381,6.9330361
45.0427855,5.0530369
43.7891922,4.1142120
44.5607310,4.7526630
43.5841061,3.7614346
43.6806526,3.6031041
43.6854167,3.5857188
25.3252748,51.5320332
25.3235956,51.5301882
25.3279292,51.5299908
25.3260745,51.5387337
47.9208280,-1.8599392
47.9051469,-1.7881482
47.9664870,-1.7963243
47.9673469,-1.7967343
47.9288482,-1.9415299
47.8950393,-1.7487643
48.0067705,-1.8453239
47.9284425,-1.7377201
47.9791425,-1.7215004
48.4445975,1.4940371
48.4426672,1.4896986
48.4148277,1.4651189
48.4461056,1.4875944
48.4443833,1.4831252
48.4466081,1.4834698
48.4338113,1.4773219
48.4438595,1.4820872
35.9244887,14.4879963
35.9086639,14.5061964
35.8973144,14.5111676
35.9169192,14.4551580
35.8965371,14.4632072
35.9220325,14.4910388
43.3098306,5.4086387
43.3186688,5.4072894
43.3138558,5.4028587
43.3105581,5.4022263
43.3090726,5.4053211
43.3151958,5.4041677
43.3074673,5.4042018
43.3127751,5.4016554
43.3189777,5.4019284
43.3093702,5.4037518
43.3134322,5.4025220
43.3054485,5.4048628
43.3196667,5.4094137
35.9021736,14.4938643
35.9051764,14.4366838
35.8920080,14.4846438
35.8966697,14.5098146
47.9195740,-1.8610189
47.9671544,-1.7942615
48.0911996,-1.6810777
48.0905921,-1.6526936
37.8601470,27.2598180
43.5892217,3.8560867
45.7980374,4.8509804
43.7299375,7.4158552
49.5473175,5.8053288
43.9028900,-0.4797849
43.6014090,1.4407249
43.2974891,5.3812933
43.2839877,5.4344843
48.8143955,2.5088354
48.8099101,2.4713746
48.8202056,2.4758642
48.7673760,2.4847998
48.7946140,2.5526110
48.8378990,2.4872770
48.7851529,2.4359648
48.7615574,2.4428948
48.8349110,2.5617796
48.8404312,2.5476627
48.8398937,2.5463977
48.8773783,2.4745411
48.8817999,2.4940394
48.7280654,2.5285429
47.9682495,-1.7984798
48.0486144,-1.6056097
48.1385947,-1.9524967
48.1279096,-1.6481931
48.1140414,-1.6113352
48.1772000,-1.7218977
48.1797250,-1.6377745
48.1539749,-1.5799785
49.1264880,6.1751693
49.1211809,6.1769455
49.1111433,6.1772993
49.1163859,6.1797434
49.1098668,6.1672617
49.1155680,6.1834887
49.1134873,6.1753468
49.1152840,6.1744360
49.1196012,6.1796518
49.1202182,6.1650232
49.1152840,6.1744360
36.6213890,2.7765953
45.9670683,4.0913424
47.2182375,5.9716380
47.2175543,5.9653784
45.0460661,5.0526360
45.0460466,5.0537511
45.0451550,5.0497220
45.0499043,5.0769539
44.9325008,4.8988899
44.9284704,4.8890805
44.9301987,4.8931868
44.4032629,0.8044438
44.3936675,0.8062111
44.4076257,0.7427211
44.4010185,0.8040510
45.0616531,5.2472316
44.4071146,0.7378978
45.2128219,5.6902241
50.8411768,4.3486480
44.4075412,0.7069345
45.1826195,5.7167158
45.0395281,5.0496215
43.6944859,7.2580280
43.7007108,7.2840887
43.6996860,7.2852056
43.7003337,7.2702399
43.6997984,7.2848380
43.6954470,7.2721677
50.8390200,4.3982001
50.8285434,4.3631608
45.1876653,5.7111207
45.4392559,4.3845860
44.3888667,0.8155917
44.3868273,0.4986031
43.6991749,7.2644477
43.7008512,7.2713341
43.7038740,7.2629787
43.7037166,7.2666188
48.5618136,7.7427072
48.5785563,7.7524833
48.6035283,7.7850650
48.5732958,7.7657661
43.6804452,7.2307984
44.3961944,0.4941549
43.5543710,7.1360130
43.5722331,7.1277669
44.2056540,0.6270840
43.5818838,7.1274950
43.5815723,7.1246965
43.5800303,7.1270941
43.5821672,7.1214271
